field_id,field_type
30740,quantitative
30770,quantitative
30780,quantitative
22421,quantitative
22423,quantitative
30760,quantitative
30870,quantitative
12144,quantitative
41270,categorical
5098,quantitative
1747,categorical
30630,quantitative
30010,quantitative
30070,quantitative
30090,quantitative
30080,quantitative
30690,quantitative
30640,quantitative
22420,quantitative
22422,quantitative
3148,quantitative
20002,categorical
6153,categorical
20003,categorical
30610,quantitative
21001,quantitative
30810,quantitative
21002,quantitative
5265,quantitative
5264,quantitative
30710,quantitative
30720,quantitative
30750,quantitative
30100,quantitative
30050,quantitative
30650,quantitative
30620,quantitative
30130,quantitative
30210,quantitative
30150,quantitative
30040,quantitative
30790,quantitative
30270,quantitative
30830,quantitative
30880,quantitative
25031,quantitative
25030,quantitative
25028,quantitative
30110,quantitative
